N¼,Nombre,Total,Por mil (ä)
579,MARGARITA ROSA,33,"0,205"
580,MARIA LUCERO,33,"0,205"
581,MIRYAM,33,"0,205"
582,SARA LUCIA,33,"0,205"
583,YADIRA,33,"0,205"
584,AINARA,32,"0,199"
585,CIELO,32,"0,199"
586,DANNA,32,"0,199"
587,LEIDY JHOANA,32,"0,199"
588,SILVIA,32,"0,199"
589,SOPHIA,32,"0,199"
590,ADRIANA MILENA,31,"0,193"
591,AURA CRISTINA,31,"0,193"
592,CONSTANZA,31,"0,193"
593,DANIELA FERNANDA,31,"0,193"
594,DORA LUZ,31,"0,193"
595,ELENA,31,"0,193"
596,ERIKA VANESSA,31,"0,193"
597,GLORIA LUCIA,31,"0,193"
598,JAZMIN,31,"0,193"
599,JESSICA ALEXANDRA,31,"0,193"
600,LAURA NATALIA,31,"0,193"
601,LILIANA MARCELA,31,"0,193"
602,LUNA,31,"0,193"
603,LUZ ALBA,31,"0,193"
604,LUZ CARIME,31,"0,193"
605,MARIA JANETH,31,"0,193"
606,MARIA LIGIA,31,"0,193"
607,MARIA ROCIO,31,"0,193"
608,MARINELA,31,"0,193"
609,VALERIE,31,"0,193"
610,YAMILET,31,"0,193"
611,ALISON,30,"0,186"
612,ANGELA VIVIANA,30,"0,186"
613,ARIANA,30,"0,186"
614,BEATRIZ HELENA,30,"0,186"
615,CLAUDIA CECILIA,30,"0,186"
616,DORA,30,"0,186"
617,ERIKA JULIETH,30,"0,186"
618,FLORALBA,30,"0,186"
619,JOSEFINA,30,"0,186"
620,KAREN VANESSA,30,"0,186"
621,LUZ AMANDA,30,"0,186"
622,MARIA CLARA,30,"0,186"
623,NAYIBE,30,"0,186"
624,OLGA MARIA,30,"0,186"
625,ORIANA,30,"0,186"
626,ALEIDA,29,"0,180"
627,ANA MERCEDES,29,"0,180"
628,ANGIE MELISSA,29,"0,180"
629,DIANA ROCIO,29,"0,180"
630,ELVIRA,29,"0,180"
631,FLOR ANGELA,29,"0,180"
632,INGRID CAROLINA,29,"0,180"
633,JULIETH ANDREA,29,"0,180"
